E:\Anaconda3_4.2.0_64bit\python.exe D:/code/deep_learning_test/cnn/added_lrn_l2_cnn_cifar_10_data.py
Filling queue with 20000 CIFAR images before starting to train. This will take a few minutes.
Tensor("Reshape_2:0", shape=(128, 2304), dtype=float32)
<tf.Variable 'Variable_4:0' shape=(2304, 384) dtype=float32_ref>
Tensor("Relu_2:0", shape=(128, 384), dtype=float32)
<tf.Variable 'Variable_6:0' shape=(384, 192) dtype=float32_ref>
Tensor("Relu_3:0", shape=(128, 192), dtype=float32)
<tf.Variable 'Variable_8:0' shape=(192, 10) dtype=float32_ref>
2018-03-25 20:36:25.141522: W c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\platform\cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE instructions, but these are available on your machine and could speed up CPU computations.
2018-03-25 20:36:25.142012: W c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\platform\cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE2 instructions, but these are available on your machine and could speed up CPU computations.
2018-03-25 20:36:25.142521: W c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\platform\cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE3 instructions, but these are available on your machine and could speed up CPU computations.
2018-03-25 20:36:25.143019: W c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\platform\cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2018-03-25 20:36:25.143508: W c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\platform\cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2018-03-25 20:36:25.143990: W c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\platform\cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2018-03-25 20:36:25.144608: W c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\platform\cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2018-03-25 20:36:25.146499: W c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\platform\cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
2018-03-25 20:36:26.005786: I c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\common_runtime\gpu\gpu_device.cc:887] Found device 0 with properties:
name: GeForce GTX 950M
major: 5 minor: 0 memoryClockRate (GHz) 1.124
pciBusID 0000:01:00.0
Total memory: 4.00GiB
Free memory: 3.35GiB
2018-03-25 20:36:26.006274: I c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\common_runtime\gpu\gpu_device.cc:908] DMA: 0
2018-03-25 20:36:26.006509: I c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\common_runtime\gpu\gpu_device.cc:918] 0:   Y
2018-03-25 20:36:26.006799: I c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\common_runtime\gpu\gpu_device.cc:977] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce GTX 950M, pci bus id: 0000:01:00.0)
step 0,loss=4.68 (0.4 examples/sec; 293.423 sec/batch)
step 530,loss=1.38 (206.4 examples/sec; 0.620 sec/batch)
step 540,loss=1.56 (148.4 examples/sec; 0.863 sec/batch)
step 550,loss=1.47 (327.8 examples/sec; 0.391 sec/batch)
step 560,loss=1.26 (179.7 examples/sec; 0.712 sec/batch)
step 570,loss=1.49 (271.0 examples/sec; 0.472 sec/batch)
step 580,loss=1.44 (88.9 examples/sec; 1.440 sec/batch)
step 590,loss=1.51 (187.2 examples/sec; 0.684 sec/batch)
step 600,loss=1.48 (37.5 examples/sec; 3.412 sec/batch)
step 610,loss=1.37 (80.5 examples/sec; 1.590 sec/batch)
step 620,loss=1.46 (84.7 examples/sec; 1.511 sec/batch)
step 630,loss=1.49 (111.5 examples/sec; 1.148 sec/batch)
step 640,loss=1.30 (153.4 examples/sec; 0.834 sec/batch)
step 650,loss=1.41 (84.1 examples/sec; 1.522 sec/batch)
step 660,loss=1.44 (271.6 examples/sec; 0.471 sec/batch)
step 670,loss=1.58 (102.0 examples/sec; 1.254 sec/batch)
step 680,loss=1.21 (149.5 examples/sec; 0.856 sec/batch)
step 690,loss=1.55 (156.4 examples/sec; 0.819 sec/batch)
step 700,loss=1.55 (93.0 examples/sec; 1.376 sec/batch)
step 710,loss=1.44 (393.4 examples/sec; 0.325 sec/batch)
step 720,loss=1.32 (394.3 examples/sec; 0.325 sec/batch)
step 730,loss=1.32 (137.1 examples/sec; 0.934 sec/batch)
step 740,loss=1.40 (251.1 examples/sec; 0.510 sec/batch)
step 750,loss=1.43 (349.8 examples/sec; 0.366 sec/batch)
step 760,loss=1.44 (138.1 examples/sec; 0.927 sec/batch)
step 770,loss=1.23 (485.6 examples/sec; 0.264 sec/batch)
step 780,loss=1.40 (253.9 examples/sec; 0.504 sec/batch)
step 790,loss=1.29 (146.6 examples/sec; 0.873 sec/batch)
step 800,loss=1.19 (229.8 examples/sec; 0.557 sec/batch)
step 810,loss=1.25 (265.1 examples/sec; 0.483 sec/batch)
step 820,loss=1.44 (221.2 examples/sec; 0.579 sec/batch)
step 830,loss=1.40 (157.3 examples/sec; 0.814 sec/batch)
step 840,loss=1.47 (249.6 examples/sec; 0.513 sec/batch)
step 850,loss=1.43 (329.8 examples/sec; 0.388 sec/batch)
step 860,loss=1.47 (245.7 examples/sec; 0.521 sec/batch)
step 870,loss=1.26 (364.9 examples/sec; 0.351 sec/batch)
step 880,loss=1.23 (299.2 examples/sec; 0.428 sec/batch)
step 890,loss=1.23 (127.3 examples/sec; 1.006 sec/batch)
step 900,loss=1.40 (153.8 examples/sec; 0.832 sec/batch)
step 910,loss=1.38 (415.0 examples/sec; 0.308 sec/batch)
step 920,loss=1.34 (148.9 examples/sec; 0.860 sec/batch)
step 930,loss=1.45 (185.5 examples/sec; 0.690 sec/batch)
step 940,loss=1.42 (234.3 examples/sec; 0.546 sec/batch)
step 950,loss=1.21 (225.0 examples/sec; 0.569 sec/batch)
step 960,loss=1.15 (316.5 examples/sec; 0.404 sec/batch)
step 970,loss=1.32 (257.5 examples/sec; 0.497 sec/batch)
step 980,loss=1.14 (341.8 examples/sec; 0.374 sec/batch)
step 990,loss=1.22 (246.3 examples/sec; 0.520 sec/batch)
step 1000,loss=1.39 (406.2 examples/sec; 0.315 sec/batch)
step 1010,loss=1.41 (161.0 examples/sec; 0.795 sec/batch)
step 1020,loss=1.33 (350.8 examples/sec; 0.365 sec/batch)
step 1030,loss=1.35 (317.4 examples/sec; 0.403 sec/batch)
step 1040,loss=1.45 (342.3 examples/sec; 0.374 sec/batch)
step 1050,loss=1.19 (242.9 examples/sec; 0.527 sec/batch)
step 1060,loss=1.15 (564.8 examples/sec; 0.227 sec/batch)
step 1070,loss=1.41 (185.8 examples/sec; 0.689 sec/batch)
step 1080,loss=1.31 (286.7 examples/sec; 0.446 sec/batch)
step 1090,loss=1.43 (653.4 examples/sec; 0.196 sec/batch)
step 1100,loss=1.33 (375.4 examples/sec; 0.341 sec/batch)
step 1110,loss=1.18 (286.4 examples/sec; 0.447 sec/batch)
step 1120,loss=1.06 (283.7 examples/sec; 0.451 sec/batch)
step 1130,loss=1.38 (538.5 examples/sec; 0.238 sec/batch)
step 1140,loss=1.36 (314.4 examples/sec; 0.407 sec/batch)
step 1150,loss=1.41 (259.7 examples/sec; 0.493 sec/batch)
step 1160,loss=1.18 (326.7 examples/sec; 0.392 sec/batch)
step 1170,loss=1.42 (320.0 examples/sec; 0.400 sec/batch)
step 1180,loss=1.21 (176.7 examples/sec; 0.724 sec/batch)
step 1190,loss=1.25 (322.4 examples/sec; 0.397 sec/batch)
step 1200,loss=1.38 (234.2 examples/sec; 0.546 sec/batch)
step 1210,loss=1.23 (130.5 examples/sec; 0.980 sec/batch)
step 1220,loss=1.20 (232.1 examples/sec; 0.551 sec/batch)
step 1230,loss=1.12 (230.7 examples/sec; 0.555 sec/batch)
step 1240,loss=1.16 (202.1 examples/sec; 0.633 sec/batch)
step 1250,loss=1.29 (334.8 examples/sec; 0.382 sec/batch)
step 1260,loss=1.37 (412.5 examples/sec; 0.310 sec/batch)
step 1270,loss=1.24 (314.8 examples/sec; 0.407 sec/batch)
step 1280,loss=1.16 (234.3 examples/sec; 0.546 sec/batch)
step 1290,loss=1.31 (203.2 examples/sec; 0.630 sec/batch)
step 1300,loss=1.08 (176.2 examples/sec; 0.727 sec/batch)
step 1310,loss=1.42 (170.9 examples/sec; 0.749 sec/batch)
step 1320,loss=1.18 (132.3 examples/sec; 0.967 sec/batch)
step 1330,loss=1.33 (634.8 examples/sec; 0.202 sec/batch)
step 1340,loss=1.18 (487.4 examples/sec; 0.263 sec/batch)
step 1350,loss=1.11 (105.1 examples/sec; 1.218 sec/batch)
step 1360,loss=1.08 (84.3 examples/sec; 1.518 sec/batch)
step 1370,loss=1.29 (114.5 examples/sec; 1.117 sec/batch)
step 1380,loss=1.42 (108.5 examples/sec; 1.179 sec/batch)
step 1390,loss=1.16 (259.4 examples/sec; 0.493 sec/batch)
step 1400,loss=1.26 (302.0 examples/sec; 0.424 sec/batch)
step 1410,loss=1.24 (114.4 examples/sec; 1.119 sec/batch)
step 1420,loss=1.32 (183.5 examples/sec; 0.697 sec/batch)
step 1430,loss=1.25 (205.6 examples/sec; 0.623 sec/batch)
step 1440,loss=1.24 (244.8 examples/sec; 0.523 sec/batch)
step 1450,loss=0.96 (192.4 examples/sec; 0.665 sec/batch)
step 1460,loss=1.32 (296.2 examples/sec; 0.432 sec/batch)
step 1470,loss=1.07 (420.6 examples/sec; 0.304 sec/batch)
step 1480,loss=1.23 (523.6 examples/sec; 0.244 sec/batch)
step 1490,loss=1.19 (274.4 examples/sec; 0.466 sec/batch)
step 1500,loss=0.86 (246.4 examples/sec; 0.519 sec/batch)
step 1510,loss=1.13 (348.8 examples/sec; 0.367 sec/batch)
step 1520,loss=0.93 (362.6 examples/sec; 0.353 sec/batch)
step 1530,loss=1.26 (326.5 examples/sec; 0.392 sec/batch)
step 1540,loss=1.19 (514.7 examples/sec; 0.249 sec/batch)
step 1550,loss=1.14 (192.4 examples/sec; 0.665 sec/batch)
step 1560,loss=1.15 (510.6 examples/sec; 0.251 sec/batch)
step 1570,loss=1.17 (199.3 examples/sec; 0.642 sec/batch)
step 1580,loss=1.14 (396.8 examples/sec; 0.323 sec/batch)
step 1590,loss=1.11 (209.3 examples/sec; 0.612 sec/batch)
step 1600,loss=1.20 (326.9 examples/sec; 0.392 sec/batch)
step 1610,loss=1.03 (272.8 examples/sec; 0.469 sec/batch)
step 1620,loss=1.09 (171.2 examples/sec; 0.748 sec/batch)
step 1630,loss=1.20 (273.4 examples/sec; 0.468 sec/batch)
step 1640,loss=1.24 (591.0 examples/sec; 0.217 sec/batch)
step 1650,loss=1.09 (231.7 examples/sec; 0.552 sec/batch)
step 1660,loss=1.21 (596.5 examples/sec; 0.215 sec/batch)
step 1670,loss=1.26 (245.5 examples/sec; 0.521 sec/batch)
step 1680,loss=0.95 (334.2 examples/sec; 0.383 sec/batch)
step 1690,loss=1.25 (296.4 examples/sec; 0.432 sec/batch)
step 1700,loss=1.18 (281.3 examples/sec; 0.455 sec/batch)
step 1710,loss=1.04 (517.9 examples/sec; 0.247 sec/batch)
step 1720,loss=1.12 (335.1 examples/sec; 0.382 sec/batch)
step 1730,loss=1.09 (472.8 examples/sec; 0.271 sec/batch)
step 1740,loss=1.27 (160.9 examples/sec; 0.796 sec/batch)
step 1750,loss=1.21 (433.5 examples/sec; 0.295 sec/batch)
step 1760,loss=1.08 (142.3 examples/sec; 0.899 sec/batch)
step 1770,loss=1.09 (235.1 examples/sec; 0.544 sec/batch)
step 1780,loss=1.18 (158.7 examples/sec; 0.807 sec/batch)
step 1790,loss=1.27 (350.7 examples/sec; 0.365 sec/batch)
step 1800,loss=1.15 (182.1 examples/sec; 0.703 sec/batch)
step 1810,loss=1.03 (259.1 examples/sec; 0.494 sec/batch)
step 1820,loss=1.37 (182.0 examples/sec; 0.703 sec/batch)
step 1830,loss=1.14 (365.2 examples/sec; 0.350 sec/batch)
step 1840,loss=1.14 (141.1 examples/sec; 0.907 sec/batch)
step 1850,loss=1.10 (231.7 examples/sec; 0.552 sec/batch)
step 1860,loss=1.12 (455.1 examples/sec; 0.281 sec/batch)
step 1870,loss=1.00 (364.7 examples/sec; 0.351 sec/batch)
step 1880,loss=1.16 (333.7 examples/sec; 0.384 sec/batch)
step 1890,loss=1.10 (287.5 examples/sec; 0.445 sec/batch)
step 1900,loss=1.21 (378.8 examples/sec; 0.338 sec/batch)
step 1910,loss=1.05 (237.3 examples/sec; 0.539 sec/batch)
step 1920,loss=1.04 (188.8 examples/sec; 0.678 sec/batch)
step 1930,loss=1.18 (551.2 examples/sec; 0.232 sec/batch)
step 1940,loss=1.08 (314.8 examples/sec; 0.407 sec/batch)
step 1950,loss=0.91 (663.1 examples/sec; 0.193 sec/batch)
step 1960,loss=1.12 (141.2 examples/sec; 0.906 sec/batch)
step 1970,loss=1.22 (249.0 examples/sec; 0.514 sec/batch)
step 1980,loss=1.26 (181.3 examples/sec; 0.706 sec/batch)
step 1990,loss=1.02 (199.6 examples/sec; 0.641 sec/batch)
step 2000,loss=1.11 (240.2 examples/sec; 0.533 sec/batch)
step 2010,loss=1.19 (562.3 examples/sec; 0.228 sec/batch)
step 2020,loss=0.99 (154.5 examples/sec; 0.828 sec/batch)
step 2030,loss=1.45 (178.3 examples/sec; 0.718 sec/batch)
step 2040,loss=1.14 (188.8 examples/sec; 0.678 sec/batch)
step 2050,loss=1.14 (113.1 examples/sec; 1.132 sec/batch)
step 2060,loss=1.06 (171.6 examples/sec; 0.746 sec/batch)
step 2070,loss=0.94 (411.8 examples/sec; 0.311 sec/batch)
step 2080,loss=0.91 (299.0 examples/sec; 0.428 sec/batch)
step 2090,loss=1.02 (161.7 examples/sec; 0.792 sec/batch)
step 2100,loss=1.06 (291.8 examples/sec; 0.439 sec/batch)
step 2110,loss=1.03 (195.0 examples/sec; 0.656 sec/batch)
step 2120,loss=0.97 (173.8 examples/sec; 0.736 sec/batch)
step 2130,loss=1.16 (307.2 examples/sec; 0.417 sec/batch)
step 2140,loss=1.25 (309.8 examples/sec; 0.413 sec/batch)
step 2150,loss=0.90 (187.9 examples/sec; 0.681 sec/batch)
step 2160,loss=1.15 (299.7 examples/sec; 0.427 sec/batch)
step 2170,loss=0.96 (197.7 examples/sec; 0.647 sec/batch)
step 2180,loss=1.03 (326.9 examples/sec; 0.392 sec/batch)
step 2190,loss=1.22 (333.3 examples/sec; 0.384 sec/batch)
step 2200,loss=1.10 (396.4 examples/sec; 0.323 sec/batch)
step 2210,loss=1.21 (405.3 examples/sec; 0.316 sec/batch)
step 2220,loss=1.17 (132.1 examples/sec; 0.969 sec/batch)
step 2230,loss=1.08 (524.6 examples/sec; 0.244 sec/batch)
step 2240,loss=1.19 (636.7 examples/sec; 0.201 sec/batch)
step 2250,loss=1.18 (472.8 examples/sec; 0.271 sec/batch)
step 2260,loss=0.89 (709.2 examples/sec; 0.180 sec/batch)
step 2270,loss=1.02 (185.0 examples/sec; 0.692 sec/batch)
step 2280,loss=0.92 (421.3 examples/sec; 0.304 sec/batch)
step 2290,loss=1.09 (383.7 examples/sec; 0.334 sec/batch)
step 2300,loss=1.34 (314.4 examples/sec; 0.407 sec/batch)
step 2310,loss=1.06 (264.0 examples/sec; 0.485 sec/batch)
step 2320,loss=1.07 (518.7 examples/sec; 0.247 sec/batch)
step 2330,loss=1.07 (358.6 examples/sec; 0.357 sec/batch)
step 2340,loss=1.26 (236.6 examples/sec; 0.541 sec/batch)
step 2350,loss=1.01 (171.0 examples/sec; 0.749 sec/batch)
step 2360,loss=0.97 (324.4 examples/sec; 0.395 sec/batch)
step 2370,loss=1.02 (603.6 examples/sec; 0.212 sec/batch)
step 2380,loss=1.09 (512.7 examples/sec; 0.250 sec/batch)
step 2390,loss=1.02 (280.0 examples/sec; 0.457 sec/batch)
step 2400,loss=0.87 (235.3 examples/sec; 0.544 sec/batch)
step 2410,loss=0.93 (429.3 examples/sec; 0.298 sec/batch)
step 2420,loss=0.94 (346.0 examples/sec; 0.370 sec/batch)
step 2430,loss=1.02 (530.8 examples/sec; 0.241 sec/batch)
step 2440,loss=1.04 (105.4 examples/sec; 1.214 sec/batch)
step 2450,loss=1.03 (410.6 examples/sec; 0.312 sec/batch)
step 2460,loss=1.04 (357.6 examples/sec; 0.358 sec/batch)
step 2470,loss=1.13 (584.2 examples/sec; 0.219 sec/batch)
step 2480,loss=1.06 (170.9 examples/sec; 0.749 sec/batch)
step 2490,loss=1.24 (296.2 examples/sec; 0.432 sec/batch)
step 2500,loss=1.08 (437.2 examples/sec; 0.293 sec/batch)
step 2510,loss=1.09 (354.4 examples/sec; 0.361 sec/batch)
step 2520,loss=1.16 (480.7 examples/sec; 0.266 sec/batch)
step 2530,loss=1.11 (296.5 examples/sec; 0.432 sec/batch)
step 2540,loss=1.23 (616.9 examples/sec; 0.207 sec/batch)
step 2550,loss=1.19 (343.2 examples/sec; 0.373 sec/batch)
step 2560,loss=1.24 (236.8 examples/sec; 0.540 sec/batch)
step 2570,loss=1.01 (215.8 examples/sec; 0.593 sec/batch)
step 2580,loss=1.05 (331.1 examples/sec; 0.387 sec/batch)
step 2590,loss=1.03 (100.4 examples/sec; 1.274 sec/batch)
step 2600,loss=0.97 (192.4 examples/sec; 0.665 sec/batch)
step 2610,loss=0.99 (391.0 examples/sec; 0.327 sec/batch)
step 2620,loss=1.23 (257.9 examples/sec; 0.496 sec/batch)
step 2630,loss=1.13 (110.5 examples/sec; 1.159 sec/batch)
step 2640,loss=1.03 (250.3 examples/sec; 0.511 sec/batch)
step 2650,loss=1.14 (119.3 examples/sec; 1.073 sec/batch)
step 2660,loss=1.01 (163.4 examples/sec; 0.783 sec/batch)
step 2670,loss=1.21 (389.2 examples/sec; 0.329 sec/batch)
step 2680,loss=1.25 (255.8 examples/sec; 0.500 sec/batch)
step 2690,loss=1.07 (227.4 examples/sec; 0.563 sec/batch)
step 2700,loss=1.06 (230.0 examples/sec; 0.557 sec/batch)
step 2710,loss=1.03 (166.9 examples/sec; 0.767 sec/batch)
step 2720,loss=1.00 (294.5 examples/sec; 0.435 sec/batch)
step 2730,loss=1.09 (395.8 examples/sec; 0.323 sec/batch)
step 2740,loss=1.04 (108.3 examples/sec; 1.182 sec/batch)
step 2750,loss=0.94 (413.1 examples/sec; 0.310 sec/batch)
step 2760,loss=1.07 (204.3 examples/sec; 0.627 sec/batch)
step 2770,loss=1.13 (203.3 examples/sec; 0.630 sec/batch)
step 2780,loss=1.04 (308.7 examples/sec; 0.415 sec/batch)
step 2790,loss=0.93 (465.9 examples/sec; 0.275 sec/batch)
step 2800,loss=0.99 (190.8 examples/sec; 0.671 sec/batch)
step 2810,loss=0.98 (281.2 examples/sec; 0.455 sec/batch)
step 2820,loss=1.00 (202.5 examples/sec; 0.632 sec/batch)
step 2830,loss=1.01 (183.7 examples/sec; 0.697 sec/batch)
step 2840,loss=1.09 (170.4 examples/sec; 0.751 sec/batch)
step 2850,loss=1.10 (314.0 examples/sec; 0.408 sec/batch)
step 2860,loss=0.84 (339.8 examples/sec; 0.377 sec/batch)
step 2870,loss=1.28 (116.1 examples/sec; 1.102 sec/batch)
step 2880,loss=1.10 (318.3 examples/sec; 0.402 sec/batch)
step 2890,loss=1.06 (568.6 examples/sec; 0.225 sec/batch)
step 2900,loss=1.04 (204.7 examples/sec; 0.625 sec/batch)
step 2910,loss=1.05 (447.9 examples/sec; 0.286 sec/batch)
step 2920,loss=1.11 (233.4 examples/sec; 0.548 sec/batch)
step 2930,loss=0.95 (278.7 examples/sec; 0.459 sec/batch)
step 2940,loss=1.00 (362.7 examples/sec; 0.353 sec/batch)
step 2950,loss=0.83 (404.0 examples/sec; 0.317 sec/batch)
step 2960,loss=1.03 (231.3 examples/sec; 0.553 sec/batch)
step 2970,loss=1.09 (164.0 examples/sec; 0.781 sec/batch)
step 2980,loss=1.41 (375.4 examples/sec; 0.341 sec/batch)
step 2990,loss=0.99 (311.4 examples/sec; 0.411 sec/batch)
precision @ 1 = 0.706

Process finished with exit code 0
